Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Nationality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,CU_1st_sem_credited,CU_1st_sem_enrolled,CU_1st_sem_evaluations,CU_1st_sem_approved,CU_1st_sem_grade,CU_1st_sem_without_evaluations,CU_2nd_sem_credited,CU_2nd_sem_enrolled,CU_2nd_sem_evaluations,CU_2nd_sem_approved,CU_2nd_sem_grade,CU_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP_growth_rate,Parental_education_level,Marital_status_category,Target
1,8,2,3,0,10.0,1,7,19,10.0,16.0,0,0,0,1,1,0,27,0,0,9,11,7,11.26,2,0,10,11,5,16.3,1,8.48,0.51,3.43,13,Single,Not Dropout
1,7,3,13,0,11.0,1,22,1,16.0,9.0,0,0,1,0,0,0,17,0,0,6,10,1,5.98,1,0,6,6,1,2.98,1,17.0,3.22,1.55,11,Single,Dropout
1,6,4,1,0,7.0,1,4,3,2.0,10.0,1,0,0,1,1,0,25,0,2,1,1,1,12.8,1,0,2,3,2,14.92,0,7.0,0.49,0.36,3,Single,Not Dropout
1,4,0,5,1,2.0,1,2,11,16.0,2.0,1,0,0,1,0,0,17,0,0,6,6,3,12.41,0,0,5,3,3,9.48,0,13.73,1.35,0.62,6,Single,Not Dropout
2,17,0,11,1,3.0,1,20,8,1.0,4.0,1,0,0,1,1,0,35,0,1,4,4,2,15.01,2,0,3,4,2,13.9,0,11.02,1.09,0.32,14,Married,Not Dropout
1,12,2,15,1,6.0,1,3,7,15.0,11.0,0,0,0,1,1,1,18,0,0,8,14,4,7.61,0,1,9,9,3,8.61,0,15.56,2.26,2.33,5,Single,Not Dropout
1,3,2,14,1,11.0,1,5,11,4.0,10.0,0,0,0,1,1,0,19,0,0,7,11,4,14.96,0,1,6,7,6,16.18,0,14.45,3.27,-0.85,8,Single,Not Dropout
2,15,5,10,1,12.0,1,10,18,13.0,11.0,1,0,0,1,1,0,19,0,0,8,8,3,8.59,0,1,7,7,2,5.46,0,8.14,1.13,-0.44,14,Married,Dropout
1,3,5,1,1,,1,17,4,16.0,6.0,0,0,0,1,0,1,21,0,0,8,7,8,17.74,0,0,7,10,7,16.15,0,9.62,2.56,-0.99,10,Single,Not Dropout
1,11,3,5,1,5.0,1,1,22,16.0,5.0,0,0,0,1,0,1,27,0,0,5,6,3,11.04,2,0,4,5,3,,1,13.77,-0.31,2.38,11,Single,Not Dropout
1,3,0,14,1,8.0,1,4,25,11.0,9.0,1,0,0,1,0,0,23,0,0,7,8,4,11.39,0,0,6,6,3,11.94,1,11.4,1.6,2.6,14,Single,Not Dropout
1,7,0,2,1,1.0,1,10,25,18.0,17.0,0,0,0,1,0,0,23,0,1,8,10,3,9.3,1,1,6,6,2,10.48,0,8.87,3.48,0.19,17,Single,Not Dropout
1,12,2,13,1,13.0,4,21,6,3.0,19.0,1,0,0,0,1,0,27,0,0,7,5,2,8.09,0,0,9,9,3,9.03,0,9.38,1.33,0.59,13,Single,Dropout
1,17,3,12,1,6.0,1,3,26,5.0,1.0,1,0,0,1,0,0,17,0,0,5,5,3,8.98,0,0,3,5,2,9.78,0,17.0,1.74,3.44,14,Single,Not Dropout
1,17,3,13,1,9.0,1,9,4,3.0,7.0,0,0,0,0,1,1,27,0,0,9,12,5,8.45,1,0,12,13,6,12.05,0,11.32,2.76,1.38,6,Single,Not Dropout
1,16,0,4,1,8.0,1,6,4,14.0,10.0,1,0,0,1,1,0,24,0,0,6,8,2,10.02,0,0,7,7,5,13.19,1,11.41,0.47,-1.57,5,Single,Not Dropout
1,5,5,5,1,5.0,1,9,22,17.0,5.0,0,0,0,1,0,0,19,0,0,5,5,2,8.81,0,1,8,10,5,10.03,0,13.23,4.0,-1.36,15,Single,Not Dropout
1,2,2,4,1,3.0,1,8,23,18.0,7.0,0,0,0,0,0,0,24,0,0,10,13,6,12.19,0,3,9,14,5,12.79,0,8.1,0.87,0.64,15,Single,Not Dropout
1,16,3,7,1,16.0,1,19,4,10.0,3.0,1,0,0,1,1,0,24,0,1,3,6,2,16.07,0,0,3,3,2,15.5,1,15.47,1.72,3.05,11,Single,Not Dropout
1,16,0,9,1,2.0,1,2,13,3.0,9.0,0,0,0,1,1,1,17,0,0,5,10,3,15.37,1,0,7,8,5,16.5,0,7.0,-1.0,1.19,7,Single,Not Dropout
1,5,4,3,1,16.0,1,28,12,4.0,,1,0,0,0,0,0,31,0,0,5,6,3,13.76,2,0,4,3,2,12.02,1,15.01,2.76,-1.07,20,Single,Not Dropout
1,1,3,10,0,,1,8,21,12.0,18.0,1,0,0,1,0,0,30,1,0,8,8,5,,0,2,9,11,5,10.64,0,12.83,1.62,2.59,14,Single,Not Dropout
1,12,1,5,0,2.0,1,29,15,18.0,1.0,1,0,0,1,0,0,17,0,0,6,7,2,11.18,0,1,6,10,2,7.7,1,13.58,1.02,-0.98,22,Single,Dropout
1,2,1,10,1,15.0,1,22,18,19.0,13.0,0,0,0,1,0,0,18,0,1,5,8,3,9.77,0,1,6,4,4,10.26,0,9.99,-0.16,0.01,20,Single,Not Dropout
4,1,2,6,1,16.0,1,11,3,14.0,18.0,0,0,0,1,1,0,31,0,0,8,6,3,7.13,0,0,10,12,4,9.6,1,9.68,3.97,4.0,7,Other,Dropout
3,16,0,17,1,15.0,1,9,29,17.0,15.0,1,0,0,1,0,0,27,0,1,8,9,6,14.8,1,0,7,5,6,15.05,1,15.69,1.95,-0.95,19,Other,Not Dropout
1,9,5,6,1,13.0,1,28,17,10.0,2.0,1,0,0,1,1,1,25,0,0,6,7,4,10.19,1,0,5,5,4,11.79,0,17.0,3.62,0.34,22,Single,Not Dropout
1,2,4,15,1,8.0,1,29,20,4.0,8.0,0,0,0,1,0,0,26,0,2,7,11,6,14.13,0,2,5,6,4,14.79,0,11.99,1.62,0.79,24,Single,Not Dropout
4,12,5,3,0,2.0,1,18,14,9.0,15.0,0,0,0,1,0,0,25,0,1,4,4,3,12.45,0,0,2,4,2,,1,14.86,1.66,-2.46,16,Other,Not Dropout
1,7,2,2,1,10.0,1,2,8,2.0,19.0,1,0,0,1,0,1,17,0,1,6,7,4,11.87,0,0,5,4,2,13.5,0,12.22,1.61,2.19,5,Single,Not Dropout
1,10,3,4,1,9.0,1,27,20,13.0,6.0,1,0,0,1,1,1,20,0,0,6,8,4,11.2,0,1,6,5,1,12.7,0,9.85,0.37,0.16,23,Single,Not Dropout
1,16,2,8,1,12.0,1,14,9,7.0,6.0,1,0,0,1,0,0,29,0,0,4,4,1,4.09,0,0,3,2,0,1.7,1,,0.57,0.85,11,Single,Dropout
1,5,2,16,0,1.0,1,1,7,7.0,5.0,1,0,0,0,1,0,27,0,0,3,2,2,15.83,0,0,3,4,2,14.42,1,10.84,1.33,0.01,4,Single,Not Dropout
1,11,3,3,1,2.0,1,24,17,1.0,18.0,1,0,0,0,0,0,25,0,1,6,11,3,12.74,1,1,7,5,4,14.05,0,13.26,3.74,-2.32,20,Single,Dropout
3,15,2,14,1,10.0,20,1,11,19.0,4.0,0,0,0,1,1,0,19,0,1,8,10,5,11.2,0,1,7,13,5,14.35,0,11.92,-1.0,1.74,6,Other,Not Dropout
1,8,4,12,1,14.0,1,11,26,9.0,7.0,0,0,0,1,1,0,29,0,1,7,10,4,11.4,0,0,7,7,3,13.51,0,12.81,2.96,2.8,18,Single,Not Dropout
1,17,0,6,1,15.0,1,3,20,15.0,3.0,1,0,0,1,1,0,17,0,0,5,7,3,15.21,1,0,6,5,3,,0,10.39,-0.11,-2.23,11,Single,Not Dropout
1,8,1,6,1,10.0,1,13,11,10.0,18.0,0,0,0,0,0,0,32,0,0,11,12,5,11.64,1,0,11,9,7,11.73,0,12.15,1.08,0.28,12,Single,Not Dropout
1,8,5,17,0,6.0,1,24,2,13.0,2.0,1,0,0,1,1,1,19,0,0,4,4,0,3.33,0,1,4,6,1,5.32,0,9.06,0.49,2.31,13,Single,Dropout
1,16,5,13,1,8.0,1,4,10,9.0,10.0,0,0,0,1,0,1,18,0,0,7,7,6,16.57,0,1,6,6,5,17.21,0,16.12,2.15,-0.48,7,Single,Not Dropout
2,11,4,5,1,9.0,1,5,4,14.0,3.0,1,0,0,1,1,1,23,0,0,5,5,0,9.44,1,0,6,8,2,8.78,0,12.36,3.26,-0.11,4,Married,Dropout
1,15,2,16,1,10.0,1,28,7,4.0,8.0,1,0,1,1,0,0,24,0,1,8,8,5,11.32,1,0,8,10,3,8.01,1,11.36,2.23,0.82,17,Single,Dropout
1,14,2,7,1,4.0,1,6,9,19.0,12.0,1,0,0,0,0,1,24,0,0,6,5,3,10.74,0,0,4,9,2,11.98,0,13.07,0.07,-0.51,7,Single,Dropout
1,13,0,2,0,7.0,1,4,19,9.0,14.0,1,0,0,1,1,0,17,0,0,6,9,4,12.96,0,0,4,3,3,11.39,0,13.3,1.55,0.84,11,Single,Not Dropout
1,5,1,14,1,9.0,1,17,4,1.0,11.0,0,0,0,1,0,0,26,0,0,8,7,6,10.81,0,0,7,8,3,10.32,1,9.86,2.42,-1.19,10,Single,Not Dropout
1,7,4,15,1,14.0,1,9,5,19.0,9.0,0,0,0,1,0,0,29,0,1,6,10,4,7.68,0,0,5,5,3,10.65,0,8.39,1.71,0.63,7,Single,Not Dropout
1,15,2,8,1,13.0,1,28,2,1.0,6.0,1,0,0,1,0,0,23,0,1,8,11,5,15.35,1,0,8,5,6,13.42,0,10.26,2.28,-0.5,15,Single,Not Dropout
1,11,2,12,1,13.0,1,5,27,9.0,16.0,1,0,1,1,1,0,17,0,0,6,8,1,6.4,0,0,4,6,1,6.72,0,13.74,2.75,0.44,16,Single,Dropout
1,5,0,4,0,4.0,1,17,29,15.0,13.0,0,0,0,1,1,0,22,0,1,2,3,1,12.64,0,0,2,2,1,10.18,2,10.82,0.5,1.12,23,Single,Not Dropout
1,6,2,15,1,7.0,1,27,9,8.0,13.0,0,0,0,0,0,1,17,0,0,10,12,3,3.74,0,1,9,11,1,6.26,1,8.49,1.24,-1.41,18,Single,Dropout
1,14,4,7,1,9.0,1,22,14,4.0,15.0,0,0,0,0,1,0,17,0,0,7,7,4,7.33,0,0,8,9,1,4.52,2,11.92,1.78,-1.16,18,Single,Dropout
1,4,3,5,0,16.0,1,1,9,5.0,5.0,0,0,0,1,1,0,20,0,0,6,5,1,4.27,1,0,5,6,1,6.02,0,15.86,2.34,0.14,5,Single,Dropout
1,2,3,9,1,6.0,1,6,16,14.0,19.0,0,1,0,1,1,1,33,0,0,9,9,7,14.51,0,0,10,14,6,11.94,0,11.32,1.42,-2.48,11,Single,Not Dropout
1,14,5,5,1,,1,4,16,11.0,18.0,1,0,0,0,0,0,23,0,0,5,3,3,14.64,0,0,5,5,3,13.65,1,7.16,-0.92,-1.06,10,Single,Not Dropout
1,5,1,11,1,12.0,1,27,8,10.0,9.0,0,0,0,0,0,0,21,0,1,5,7,2,9.7,0,0,4,7,1,6.46,0,9.24,1.28,-2.11,17,Single,Dropout
1,14,1,13,1,11.0,1,6,19,10.0,4.0,1,0,0,1,0,1,27,0,2,4,3,0,0.9,1,0,2,4,0,1.95,0,10.09,0.95,-0.11,12,Single,Dropout
3,10,3,7,1,12.0,1,2,1,7.0,,0,0,0,1,0,1,27,0,0,6,8,0,5.4,0,0,5,9,1,4.98,0,11.49,0.37,1.41,1,Other,Dropout
1,17,2,14,1,13.0,1,12,19,18.0,8.0,0,0,0,1,0,0,17,0,0,5,7,2,6.44,0,0,7,8,3,10.53,1,12.84,-0.14,2.04,15,Single,Dropout
1,9,5,8,1,12.0,1,9,22,5.0,19.0,1,0,0,1,0,1,34,0,0,6,8,2,11.81,0,1,6,11,3,8.27,0,13.5,-0.31,2.91,15,Single,Not Dropout
1,15,0,17,1,11.0,1,5,2,16.0,6.0,1,0,0,1,0,0,24,0,2,4,4,3,12.42,0,0,3,3,2,13.9,0,11.17,0.58,0.41,3,Single,Not Dropout
1,15,0,5,1,7.0,1,14,21,15.0,18.0,1,0,0,1,0,0,28,1,1,5,4,2,3.07,0,0,5,7,0,6.9,2,9.08,0.32,-2.39,17,Single,Dropout
4,4,2,12,1,7.0,1,27,22,1.0,5.0,0,0,0,1,0,1,19,1,1,7,7,4,11.49,0,0,6,6,1,6.15,1,7.09,0.81,-2.47,24,Other,Dropout
1,17,2,10,1,10.0,1,7,29,4.0,18.0,1,0,0,1,1,1,17,0,0,9,8,4,6.11,0,0,8,11,2,3.17,1,12.05,0.78,0.91,18,Single,Dropout
2,13,5,17,1,14.0,1,29,24,11.0,18.0,0,0,0,0,0,1,22,0,0,6,7,3,10.41,0,0,5,5,4,11.62,0,7.02,-0.42,-0.72,26,Married,Not Dropout
